Year,Month,Day,Precipitation
2019,5,30,0.0
2019,5,31,0.0
2019,6,1,0.0
2019,6,2,0.0
2019,6,3,0.0
2019,6,4,0.0
2019,6,5,0.0
2019,6,6,0.0
2019,6,7,0.0
2019,6,8,0.0
2019,6,9,0.0
2019,6,10,0.0
2019,6,11,0.0
2019,6,12,0.0
2019,6,13,0.0
2019,6,14,0.0
2019,6,15,0.0
2019,6,16,0.0
2019,6,17,0.0
2019,6,18,0.0
2019,6,19,0.0
2019,6,20,0.0
2019,6,21,0.0
2019,6,22,0.0
2019,6,23,0.0
2019,6,24,0.0
2019,6,25,0.0
2019,6,26,0.0
2019,6,27,0.0
2019,6,28,0.0
2019,6,29,0.0
2019,6,30,0.0
2019,7,1,0.0
2019,7,2,0.0
2019,7,3,0.0
2019,7,4,1.0
2019,7,5,39.8
2019,7,6,0.4
2019,7,7,0.0
2019,7,8,0.0
2019,7,9,0.0
2019,7,10,0.0
2019,7,11,0.0
2019,7,12,0.0
2019,7,13,0.0
2019,7,14,0.0
2019,7,15,0.0
2019,7,16,1.4000000000000001
2019,7,26,0.0
2019,7,27,0.0
2019,7,29,0.0
2019,7,30,0.2
2019,7,31,0.0
2019,8,1,0.0
2019,8,2,0.0
2019,8,3,1.4000000000000001
2019,8,4,9.8
2019,8,5,4.4
2019,8,6,0.0
2019,8,7,0.0
2019,8,8,0.0
2019,8,9,0.0
2019,8,10,0.0
2019,8,11,0.0
2019,8,12,0.0
2019,8,13,0.0
2019,8,14,0.0
2019,8,15,0.0
2019,8,16,0.0
2019,8,17,0.0
2019,8,18,0.0
2019,8,19,0.0
2019,8,20,0.0
2019,8,21,0.0
2019,8,22,0.0
2019,8,23,0.0
2019,8,24,0.0
2019,8,25,0.0
2019,8,26,0.0
2019,8,27,0.0
2019,8,28,0.0
2019,8,29,0.2
2019,8,30,0.0
2019,8,31,0.0
2019,9,1,24.8
2019,9,2,7.8
2019,9,3,5.0
2019,9,4,1.7999999999999998
2019,9,5,0.0
2019,9,6,0.0
2019,9,7,0.0
2019,9,8,0.0
2019,9,9,0.0
2019,9,10,0.0
2019,9,11,0.0
2019,9,12,0.0
2019,9,13,0.0
2019,9,14,0.0
2019,9,15,0.0
2019,9,16,0.0
2019,9,17,0.0
2019,9,18,0.0
2019,9,19,0.0
2019,9,20,0.0
2019,9,21,0.0
2019,9,22,0.0
2019,9,23,0.0
2019,9,24,0.0
2019,9,25,18.8
2019,9,26,4.6000000000000005
2019,9,27,0.2
2019,9,28,0.0
2019,9,29,0.0
2019,9,30,0.0
2019,10,1,0.0
2019,10,2,0.0
2019,10,3,0.0
2019,10,4,0.0
2019,10,5,0.0
2019,10,6,32.8
2019,10,7,1.0
2019,10,8,4.6000000000000005
2019,10,9,3.8000000000000003
2019,10,10,0.0
2019,10,11,0.0
2019,10,12,0.0
2019,10,13,0.0
2019,10,15,0.0
2019,10,16,0.0
2019,10,17,0.6000000000000001
2019,10,18,3.4000000000000004
2019,10,19,29.2
2019,10,20,0.0
2019,10,21,2.0
2019,10,22,0.0
2019,10,23,0.0
2019,10,24,0.0
2019,10,25,0.0
2019,10,26,0.0
2019,10,27,0.0
2019,10,28,4.8
2019,10,29,0.0
2019,10,30,4.0
2019,10,31,0.0
2019,11,1,0.0
2019,11,2,0.0
2019,11,3,0.0
2019,11,4,0.0
2019,11,5,30.400000000000002
2019,11,6,2.2
2019,11,7,0.0
2019,11,8,9.6
2019,11,9,0.0
2019,11,10,5.6000000000000005
2019,11,11,0.2
2019,11,12,0.0
2019,11,13,0.0
2019,11,14,17.6
2019,11,15,15.4
2019,11,16,0.2
2019,11,17,0.0
2019,11,18,0.0
2019,11,19,0.0
2019,11,20,0.4
2019,11,21,0.0
2019,11,22,3.4
2019,11,23,1.6
2019,11,24,0.6000000000000001
2019,11,25,0.0
2019,11,26,0.0
2019,11,27,15.0
2019,11,28,13.600000000000001
2019,11,29,0.0
2019,11,30,8.799999999999999
2019,12,1,48.400000000000006
2019,12,2,9.8
2019,12,3,0.0
2019,12,4,3.4
2019,12,5,29.8
2019,12,6,17.4
2019,12,7,0.2
2019,12,8,0.0
2019,12,9,32.0
2019,12,10,0.0
2019,12,11,22.8
2019,12,12,2.0
2019,12,13,0.0
2019,12,14,0.0
2019,12,15,0.0
2019,12,16,0.0
2019,12,17,1.6
2019,12,18,11.6
2019,12,19,29.400000000000002
2019,12,20,1.4000000000000001
2019,12,21,0.8
2019,12,22,4.4
2019,12,23,38.0
2019,12,24,0.4
2019,12,25,0.0
2019,12,26,17.6
2019,12,27,0.0
2019,12,28,0.0
2019,12,29,0.0
2019,12,30,0.0
2019,12,31,0.4
2020,1,1,0.0
2020,1,2,63.8
2020,1,3,2.2
2020,1,4,19.6
2020,1,5,26.4
2020,1,6,0.4
2020,1,7,20.6
2020,1,8,23.2
2020,1,9,3.8
2020,1,10,1.4000000000000001
2020,1,11,4.2
2020,1,12,92.2
2020,1,13,2.0
2020,1,14,0.0
2020,1,15,0.0
2020,1,16,0.2
2020,1,17,0.2
2020,1,18,0.0
2020,1,19,0.0
2020,1,20,0.2
2020,1,21,0.0
2020,1,22,0.0
2020,1,23,29.2
2020,1,24,3.0
2020,1,25,0.0
2020,1,26,0.0
2020,1,27,0.0
2020,1,28,0.0
2020,1,29,0.0
2020,1,30,1.2000000000000002
2020,1,31,0.0
2020,2,1,47.0
2020,2,2,0.7999999999999999
2020,2,3,4.2
2020,2,4,2.8000000000000003
2020,2,5,10.4
2020,2,6,31.2
2020,2,7,36.0
2020,2,8,2.2
2020,2,9,1.6
2020,2,10,22.8
2020,2,11,29.0
2020,2,12,0.0
2020,2,13,0.0
2020,2,14,0.0
2020,2,15,0.0
2020,2,16,0.0
2020,2,17,0.0
2020,2,18,1.6
2020,2,19,9.0
2020,2,20,16.8
2020,2,21,12.8
2020,2,22,0.0
2020,2,23,11.4
2020,2,24,14.8
2020,2,25,0.6000000000000001
2020,2,26,84.4
2020,2,27,45.4
2020,2,28,3.2
2020,2,29,0.0
2020,3,1,0.0
2020,3,2,0.0
2020,3,3,0.0
2020,3,4,0.0
2020,3,5,0.0
2020,3,6,0.0
2020,3,7,0.0
2020,3,8,0.0
2020,3,9,0.0
2020,3,10,0.0
2020,3,11,0.0
2020,3,12,0.0
2020,3,13,0.0
2020,3,14,0.0
2020,3,15,0.0
2020,3,16,1.2000000000000002
2020,3,17,10.6
2020,3,18,0.4
2020,3,19,2.2
2020,3,20,7.3999999999999995
2020,3,21,28.4
2020,3,22,0.0
2020,3,23,0.0
2020,3,24,0.0
2020,3,25,0.0
2020,3,26,0.0
2020,3,27,0.0
2020,3,28,0.0
2020,3,29,59.0
2020,3,30,2.4000000000000004
2020,3,31,0.0
2020,4,1,0.0
2020,4,2,0.0
2020,4,3,0.0
2020,4,4,0.0
2020,4,5,0.0
2020,4,6,0.0
2020,4,7,0.6000000000000001
2020,4,8,0.0
2020,4,9,0.0
2020,4,10,0.0
2020,4,11,0.0
2020,4,12,0.0
2020,4,13,0.0
2020,4,14,4.0
2020,4,15,0.0
2020,4,16,0.0
2020,4,17,0.0
2020,4,18,0.0
2020,4,19,0.0
2020,4,20,0.0
2020,4,21,0.0
2020,4,22,0.0
2020,4,23,0.0
2020,4,24,0.0
2020,4,25,0.0
2020,4,26,0.0
2020,4,27,0.0
2020,4,28,0.0
2020,4,29,0.0
2020,4,30,0.0
2020,5,1,0.0
2020,5,2,0.0
2020,5,3,0.0
2020,5,4,0.0
2020,5,5,0.0
2020,5,6,0.0
2020,5,7,0.0
2020,5,8,0.0
2020,5,9,0.0
2020,5,10,0.0
2020,5,11,0.0
2020,5,12,0.0
2020,5,13,0.0
2020,5,14,12.799999999999999
2020,5,15,1.2000000000000002
2020,5,16,0.0
2020,5,17,0.0
2020,5,18,0.0
2020,5,19,0.0
2020,5,20,0.0
2020,5,21,0.0
2020,5,22,0.0
2020,5,23,25.8
2020,5,24,0.0
2020,5,25,0.0
2020,5,26,0.0
2020,5,27,0.0
2020,5,28,0.0
2020,5,29,0.0
2020,5,30,0.0
2020,5,31,0.0
2020,6,1,0.0
2020,6,2,0.0
2020,6,3,0.4
2020,6,4,6.6000000000000005
2020,6,5,0.6000000000000001
2020,6,6,0.0
2020,6,7,40.2
2020,6,8,0.0
2020,6,9,0.4
2020,6,10,0.0
2020,6,11,0.0
2020,6,12,0.0
2020,6,13,0.0
2020,6,14,0.0
2020,6,15,0.0
2020,6,16,0.0
2020,6,17,0.0
2020,6,18,0.0
2020,6,19,0.0
2020,6,20,0.0
2020,6,21,0.0
2020,6,22,0.0
2020,6,23,0.0
2020,6,24,0.0
2020,6,25,0.0
2020,6,26,1.6
2020,6,27,22.8
2020,6,28,0.2
2020,6,29,0.0
2020,6,30,0.0
2020,7,1,2.8
2020,7,2,0.0
2020,7,3,0.0
2020,7,4,0.0
2020,7,5,0.0
2020,7,6,0.0
2020,7,7,0.0
2020,7,8,0.0
2020,7,9,1.4
2020,7,10,0.0
2020,7,11,0.0
2020,7,12,0.0
2020,7,13,0.0
2020,7,14,0.0
2020,7,15,0.0
2020,7,16,0.0
2020,7,17,0.0
2020,7,18,0.0
2020,7,19,0.0
2020,7,20,0.0
2020,7,21,0.0
2020,7,22,0.0
2020,7,23,0.0
2020,7,24,0.0
2020,7,25,0.0
2020,7,26,0.0
2020,7,27,0.0
2020,7,28,0.0
2020,7,29,0.0
2020,7,30,0.0
2020,7,31,0.0
2020,8,1,0.0
2020,8,2,0.0
2020,8,3,0.0
2020,8,4,0.0
2020,8,5,0.0
2020,8,6,0.0
2020,8,7,0.0
2020,8,8,0.0
2020,8,9,0.0
2020,8,10,0.0
2020,8,11,0.0
2020,8,12,0.0
2020,8,13,0.0
2020,8,14,0.0
2020,8,15,0.0
2020,8,16,0.0
2020,8,17,16.8
2020,8,18,0.0
2020,8,19,0.0
2020,8,20,0.0
2020,8,21,7.800000000000001
2020,8,22,0.0
2020,8,23,0.0
2020,8,24,0.0
2020,8,25,0.0
2020,8,26,0.0
2020,8,27,0.0
2020,8,28,0.0
2020,8,29,0.0
2020,8,30,0.0
2020,8,31,0.0
2020,9,1,0.0
2020,9,2,0.0
2020,9,3,0.0
2020,9,4,0.0
2020,9,5,0.0
2020,9,6,0.0
2020,9,7,0.0
2020,9,8,0.0
2020,9,9,0.0
2020,9,10,0.0
2020,9,11,0.0
2020,9,12,0.0
2020,9,13,0.0
2020,9,14,0.0
2020,9,15,0.0
2020,9,16,0.0
2020,9,17,0.0
2020,9,18,0.0
2020,9,19,0.0
2020,9,20,0.6
2020,9,21,0.2
2020,9,22,16.6
2020,9,23,0.0
2020,9,24,0.0
2020,9,25,0.0
2020,9,26,0.0
2020,9,27,0.0
2020,9,28,3.6
2020,9,29,24.599999999999998
2020,9,30,0.0
2020,10,1,0.0
2020,10,2,0.0
2020,10,3,0.0
2020,10,4,0.0
2020,10,5,0.0
2020,10,6,0.0
2020,10,7,0.0
2020,10,8,0.0
2020,10,9,0.0
2020,10,10,0.0
2020,10,11,0.0
2020,10,12,0.0
2020,10,13,0.0
2020,10,14,0.0
2020,10,15,15.0
2020,10,16,2.6
2020,10,17,0.0
2020,10,18,0.0
2020,10,19,0.0
2020,10,20,9.8
2020,10,21,0.0
2020,10,22,0.0
2020,10,23,0.0
2020,10,24,1.4000000000000001
2020,10,25,1.4
2020,10,26,0.0
2020,10,27,0.0
2020,10,28,0.0
2020,10,29,23.0
2020,10,30,2.4
2020,10,31,0.0
2020,11,1,0.0
2020,11,2,0.0
2020,11,3,0.0
2020,11,4,0.0
2020,11,5,0.0
2020,11,6,0.0
2020,11,7,0.0
2020,11,8,0.0
2020,11,9,0.0
2020,11,10,2.8
2020,11,11,1.2
2020,11,12,0.0
2020,11,13,49.2
2020,11,14,0.0
2020,11,15,0.0
2020,11,16,9.8
2020,11,17,3.0
2020,11,18,28.8
2020,11,19,18.6
2020,11,20,0.0
2020,11,21,0.0
2020,11,22,0.0
2020,11,23,0.0
2020,11,24,0.0
2020,11,25,0.0
2020,11,26,38.0
2020,11,27,16.8
2020,11,28,0.0
2020,11,29,0.0
2020,11,30,0.0
2020,12,1,0.0
2020,12,2,20.8
2020,12,3,0.0
2020,12,4,0.0
2020,12,5,4.8
2020,12,6,12.4
2020,12,7,3.0
2020,12,8,8.0
2020,12,9,0.0
2020,12,10,0.0
2020,12,11,0.2
2020,12,12,0.0
2020,12,13,0.0
2020,12,14,0.0
2020,12,15,0.2
2020,12,16,0.2
2020,12,17,1.4000000000000001
2020,12,18,3.8000000000000003
2020,12,19,2.2
2020,12,20,2.8000000000000003
2020,12,21,1.2000000000000002
2020,12,22,0.4
2020,12,23,0.6000000000000001
2020,12,24,1.6
2020,12,25,0.0
2020,12,26,0.0
2020,12,27,0.0
2020,12,28,0.0
2020,12,29,0.0
2020,12,30,0.0
2020,12,31,0.0
2021,1,1,0.0
2021,1,2,0.0
2021,1,3,0.0
2021,1,4,0.0
2021,1,5,0.0
2021,1,6,0.0
2021,1,7,0.0
2021,1,8,0.0
2021,1,9,0.0
2021,1,10,0.0
2021,1,11,0.0
2021,1,12,0.0
2021,1,13,0.0
2021,1,14,0.0
2021,1,15,0.0
2021,1,16,0.0
2021,1,17,0.0
2021,1,18,0.0
2021,1,19,0.0
2021,1,20,0.0
2021,1,21,0.0
2021,1,22,0.0
2021,1,23,0.0
2021,1,24,0.0
2021,1,25,0.0
2021,1,26,0.0
2021,1,27,0.0
2021,1,28,0.0
2021,1,29,0.0
2021,1,30,0.0
2021,1,31,0.0
